ticker,industry,name,period,unit,value,group
BAF,Thực phẩm và đồ uống,Nợ phải trả,Q4-2024,Tỷ VND,4513.28,CĐKT - Nguồn vốn
VLC,Thực phẩm và đồ uống,Nợ phải trả,Q4-2024,Tỷ VND,807.91,CĐKT - Nguồn vốn
HAG,Thực phẩm và đồ uống,Nợ phải trả,Q3-2024,Tỷ VND,13532.27,CĐKT - Nguồn vốn
DBC,Thực phẩm và đồ uống,Nợ phải trả,Q3-2024,Tỷ VND,7542.55,CĐKT - Nguồn vốn
BAF,Thực phẩm và đồ uống,Nợ phải trả,Q3-2024,Tỷ VND,4124.85,CĐKT - Nguồn vốn
VLC,Thực phẩm và đồ uống,Nợ phải trả,Q3-2024,Tỷ VND,776.94,CĐKT - Nguồn vốn
HAG,Thực phẩm và đồ uống,Nợ phải trả,Q2-2024,Tỷ VND,12750.09,CĐKT - Nguồn vốn
DBC,Thực phẩm và đồ uống,Nợ phải trả,Q2-2024,Tỷ VND,8441.0,CĐKT - Nguồn vốn
BAF,Thực phẩm và đồ uống,Nợ phải trả,Q2-2024,Tỷ VND,5204.16,CĐKT - Nguồn vốn
VLC,Thực phẩm và đồ uống,Nợ phải trả,Q2-2024,Tỷ VND,580.56,CĐKT - Nguồn vốn
HAG,Thực phẩm và đồ uống,Nợ ngắn hạn,Q2-2025,Tỷ VND,13715.5,CĐKT - Nguồn vốn
DBC,Thực phẩm và đồ uống,Nợ ngắn hạn,Q2-2025,Tỷ VND,6088.96,CĐKT - Nguồn vốn
BAF,Thực phẩm và đồ uống,Nợ ngắn hạn,Q2-2025,Tỷ VND,2191.08,CĐKT - Nguồn vốn
VLC,Thực phẩm và đồ uống,Nợ ngắn hạn,Q2-2025,Tỷ VND,837.18,CĐKT - Nguồn vốn
HAG,Thực phẩm và đồ uống,Nợ ngắn hạn,Q1-2025,Tỷ VND,11729.28,CĐKT - Nguồn vốn
DBC,Thực phẩm và đồ uống,Nợ ngắn hạn,Q1-2025,Tỷ VND,6240.41,CĐKT - Nguồn vốn
BAF,Thực phẩm và đồ uống,Nợ ngắn hạn,Q1-2025,Tỷ VND,3069.22,CĐKT - Nguồn vốn
VLC,Thực phẩm và đồ uống,Nợ ngắn hạn,Q1-2025,Tỷ VND,606.44,CĐKT - Nguồn vốn
HAG,Thực phẩm và đồ uống,Nợ ngắn hạn,Q4-2024,Tỷ VND,11122.84,CĐKT - Nguồn vốn
DBC,Thực phẩm và đồ uống,Nợ ngắn hạn,Q4-2024,Tỷ VND,6420.69,CĐKT - Nguồn vốn
BAF,Thực phẩm và đồ uống,Nợ ngắn hạn,Q4-2024,Tỷ VND,3064.58,CĐKT - Nguồn vốn
VLC,Thực phẩm và đồ uống,Nợ ngắn hạn,Q4-2024,Tỷ VND,698.53,CĐKT - Nguồn vốn
HAG,Thực phẩm và đồ uống,Nợ ngắn hạn,Q3-2024,Tỷ VND,9530.29,CĐKT - Nguồn vốn
DBC,Thực phẩm và đồ uống,Nợ ngắn hạn,Q3-2024,Tỷ VND,6449.1,CĐKT - Nguồn vốn
BAF,Thực phẩm và đồ uống,Nợ ngắn hạn,Q3-2024,Tỷ VND,2449.94,CĐKT - Nguồn vốn
VLC,Thực phẩm và đồ uống,Nợ ngắn hạn,Q3-2024,Tỷ VND,663.3,CĐKT - Nguồn vốn
HAG,Thực phẩm và đồ uống,Nợ ngắn hạn,Q2-2024,Tỷ VND,9058.26,CĐKT - Nguồn vốn
DBC,Thực phẩm và đồ uống,Nợ ngắn hạn,Q2-2024,Tỷ VND,7354.49,CĐKT - Nguồn vốn
BAF,Thực phẩm và đồ uống,Nợ ngắn hạn,Q2-2024,Tỷ VND,3485.67,CĐKT - Nguồn vốn
VLC,Thực phẩm và đồ uống,Nợ ngắn hạn,Q2-2024,Tỷ VND,462.8,CĐKT - Nguồn vốn
HAG,Thực phẩm và đồ uống,Nợ dài hạn,Q2-2025,Tỷ VND,1920.32,CĐKT - Nguồn vốn
DBC,Thực phẩm và đồ uống,Nợ dài hạn,Q2-2025,Tỷ VND,907.95,CĐKT - Nguồn vốn
BAF,Thực phẩm và đồ uống,Nợ dài hạn,Q2-2025,Tỷ VND,2064.75,CĐKT - Nguồn vốn
VLC,Thực phẩm và đồ uống,Nợ dài hạn,Q2-2025,Tỷ VND,102.53,CĐKT - Nguồn vốn
HAG,Thực phẩm và đồ uống,Nợ dài hạn,Q1-2025,Tỷ VND,2005.97,CĐKT - Nguồn vốn
DBC,Thực phẩm và đồ uống,Nợ dài hạn,Q1-2025,Tỷ VND,936.22,CĐKT - Nguồn vốn
BAF,Thực phẩm và đồ uống,Nợ dài hạn,Q1-2025,Tỷ VND,2449.58,CĐKT - Nguồn vốn
VLC,Thực phẩm và đồ uống,Nợ dài hạn,Q1-2025,Tỷ VND,106.34,CĐKT - Nguồn vốn
HAG,Thực phẩm và đồ uống,Nợ dài hạn,Q4-2024,Tỷ VND,1832.35,CĐKT - Nguồn vốn
DBC,Thực phẩm và đồ uống,Nợ dài hạn,Q4-2024,Tỷ VND,934.78,CĐKT - Nguồn vốn
BAF,Thực phẩm và đồ uống,Nợ dài hạn,Q4-2024,Tỷ VND,1448.7,CĐKT - Nguồn vốn
VLC,Thực phẩm và đồ uống,Nợ dài hạn,Q4-2024,Tỷ VND,109.37,CĐKT - Nguồn vốn
HAG,Thực phẩm và đồ uống,Nợ dài hạn,Q3-2024,Tỷ VND,4001.98,CĐKT - Nguồn vốn
DBC,Thực phẩm và đồ uống,Nợ dài hạn,Q3-2024,Tỷ VND,1093.45,CĐKT - Nguồn vốn
BAF,Thực phẩm và đồ uống,Nợ dài hạn,Q3-2024,Tỷ VND,1674.91,CĐKT - Nguồn vốn
VLC,Thực phẩm và đồ uống,Nợ dài hạn,Q3-2024,Tỷ VND,113.64,CĐKT - Nguồn vốn
HAG,Thực phẩm và đồ uống,Nợ dài hạn,Q2-2024,Tỷ VND,3691.83,CĐKT - Nguồn vốn
DBC,Thực phẩm và đồ uống,Nợ dài hạn,Q2-2024,Tỷ VND,1086.51,CĐKT - Nguồn vốn
BAF,Thực phẩm và đồ uống,Nợ dài hạn,Q2-2024,Tỷ VND,1718.49,CĐKT - Nguồn vốn
VLC,Thực phẩm và đồ uống,Nợ dài hạn,Q2-2024,Tỷ VND,117.76,CĐKT - Nguồn vốn
HAG,Thực phẩm và đồ uống,Vốn chủ sở hữu,Q2-2025,Tỷ VND,10365.91,CĐKT - Nguồn vốn
DBC,Thực phẩm và đồ uống,Vốn chủ sở hữu,Q2-2025,Tỷ VND,7577.53,CĐKT - Nguồn vốn
BAF,Thực phẩm và đồ uống,Vốn chủ sở hữu,Q2-2025,Tỷ VND,4266.4,CĐKT - Nguồn vốn
VLC,Thực phẩm và đồ uống,Vốn chủ sở hữu,Q2-2025,Tỷ VND,5998.59,CĐKT - Nguồn vốn
