ticker,industry,name,period,unit,value,group
VLC,Thực phẩm và đồ uống,Tỷ lệ thanh toán hiện thời,Q3-2024,Lần,6.79,Sức khỏe tài chính
HAG,Thực phẩm và đồ uống,Tỷ lệ thanh toán hiện thời,Q2-2024,Lần,0.96,Sức khỏe tài chính
DBC,Thực phẩm và đồ uống,Tỷ lệ thanh toán hiện thời,Q2-2024,Lần,1.0,Sức khỏe tài chính
BAF,Thực phẩm và đồ uống,Tỷ lệ thanh toán hiện thời,Q2-2024,Lần,1.0,Sức khỏe tài chính
VLC,Thực phẩm và đồ uống,Tỷ lệ thanh toán hiện thời,Q2-2024,Lần,9.62,Sức khỏe tài chính
HAG,Thực phẩm và đồ uống,Tỷ lệ hoàn thành doanh thu,Q2-2025,%,0.6727,So với kế hoạch
DBC,Thực phẩm và đồ uống,Tỷ lệ hoàn thành doanh thu,Q2-2025,%,0.2583,So với kế hoạch
BAF,Thực phẩm và đồ uống,Tỷ lệ hoàn thành doanh thu,Q2-2025,%,0.4482,So với kế hoạch
VLC,Thực phẩm và đồ uống,Tỷ lệ hoàn thành doanh thu,Q2-2025,%,0.4324,So với kế hoạch
DBC,Thực phẩm và đồ uống,Tỷ lệ hoàn thành doanh thu,Q1-2025,%,0.1255,So với kế hoạch
BAF,Thực phẩm và đồ uống,Tỷ lệ hoàn thành doanh thu,Q1-2025,%,0.2006,So với kế hoạch
VLC,Thực phẩm và đồ uống,Tỷ lệ hoàn thành doanh thu,Q1-2025,%,0.1823,So với kế hoạch
HAG,Thực phẩm và đồ uống,Tỷ lệ hoàn thành doanh thu,Q4-2024,%,0.7462,So với kế hoạch
DBC,Thực phẩm và đồ uống,Tỷ lệ hoàn thành doanh thu,Q4-2024,%,0.5348,So với kế hoạch
BAF,Thực phẩm và đồ uống,Tỷ lệ hoàn thành doanh thu,Q4-2024,%,1.0175,So với kế hoạch
VLC,Thực phẩm và đồ uống,Tỷ lệ hoàn thành doanh thu,Q4-2024,%,0.8675,So với kế hoạch
HAG,Thực phẩm và đồ uống,Tỷ lệ hoàn thành doanh thu,Q3-2024,%,0.5411,So với kế hoạch
DBC,Thực phẩm và đồ uống,Tỷ lệ hoàn thành doanh thu,Q3-2024,%,0.3925,So với kế hoạch
BAF,Thực phẩm và đồ uống,Tỷ lệ hoàn thành doanh thu,Q3-2024,%,0.7083,So với kế hoạch
VLC,Thực phẩm và đồ uống,Tỷ lệ hoàn thành doanh thu,Q3-2024,%,0.645,So với kế hoạch
