ticker,industry,name,period,unit,value
BVS,Dịch vụ tài chính,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,5080990000000.0
YEG,Truyền thông,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,1305310000000.0
AST,Bán lẻ,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,605820000000.0
DVP,Hàng & Dịch vụ Công nghiệp,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,1291750000000.0
BMI,Bảo hiểm,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,6728520000000.0
NCT,Hàng & Dịch vụ Công nghiệp,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,518820000000.00006
FCN,Xây dựng và Vật liệu,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,6369720000000.0
HBC,Xây dựng và Vật liệu,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,13734790000000.0
VPD,"Điện, nước & xăng dầu khí đốt",I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,322690000000.0
SGT,Công nghệ Thông tin,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,6055070000000.0
TV2,Hàng & Dịch vụ Công nghiệp,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,1331540000000.0
DRC,Ô tô và phụ tùng,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,2794030000000.0
NTL,Bất động sản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,2117850000000.0
TNG,Hàng cá nhân & Gia dụng,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,2637650000000.0
APG,Dịch vụ tài chính,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,2161219999999.9998
NBB,Bất động sản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,3389660000000.0
BFC,Hóa chất,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,2608900000000.0
VFS,Dịch vụ tài chính,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,2849700000000.0
GDA,Tài nguyên Cơ bản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,10338420000000.0
FMC,Thực phẩm và đồ uống,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,2641240000000.0
SHI,Tài nguyên Cơ bản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,7267560000000.0
CKG,Bất động sản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,4071640000000.0
VFG,Hóa chất,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,2206930000000.0
