ticker,industry,name,period,unit,value,group
HCM,Dịch vụ tài chính,Tỷ suất lợi nhuận thuần,Q2-2024,%,0.2701,Hiệu quả
MBS,Dịch vụ tài chính,Tỷ suất lợi nhuận thuần,Q2-2024,%,0.2802,Hiệu quả
SHS,Dịch vụ tài chính,Tỷ suất lợi nhuận thuần,Q2-2024,%,0.6844,Hiệu quả
FTS,Dịch vụ tài chính,Tỷ suất lợi nhuận thuần,Q2-2024,%,0.4975,Hiệu quả
BSI,Dịch vụ tài chính,Tỷ suất lợi nhuận thuần,Q2-2024,%,0.3067,Hiệu quả
CTS,Dịch vụ tài chính,Tỷ suất lợi nhuận thuần,Q2-2024,%,0.1894,Hiệu quả
VDS,Dịch vụ tài chính,Tỷ suất lợi nhuận thuần,Q2-2024,%,0.3961,Hiệu quả
ORS,Dịch vụ tài chính,Tỷ suất lợi nhuận thuần,Q2-2024,%,0.1313,Hiệu quả
BVS,Dịch vụ tài chính,Tỷ suất lợi nhuận thuần,Q2-2024,%,0.1825,Hiệu quả
VIX,Dịch vụ tài chính,Tăng trưởng doanh thu thuần,Q2-2025,%,4.2164,Tăng trưởng
VND,Dịch vụ tài chính,Tăng trưởng doanh thu thuần,Q2-2025,%,0.1936,Tăng trưởng
VCI,Dịch vụ tài chính,Tăng trưởng doanh thu thuần,Q2-2025,%,0.2662,Tăng trưởng
HCM,Dịch vụ tài chính,Tăng trưởng doanh thu thuần,Q2-2025,%,-0.0187,Tăng trưởng
MBS,Dịch vụ tài chính,Tăng trưởng doanh thu thuần,Q2-2025,%,-0.103,Tăng trưởng
SHS,Dịch vụ tài chính,Tăng trưởng doanh thu thuần,Q2-2025,%,0.2607,Tăng trưởng
FTS,Dịch vụ tài chính,Tăng trưởng doanh thu thuần,Q2-2025,%,-0.2165,Tăng trưởng
BSI,Dịch vụ tài chính,Tăng trưởng doanh thu thuần,Q2-2025,%,0.194,Tăng trưởng
CTS,Dịch vụ tài chính,Tăng trưởng doanh thu thuần,Q2-2025,%,1.1127,Tăng trưởng
VDS,Dịch vụ tài chính,Tăng trưởng doanh thu thuần,Q2-2025,%,-0.431,Tăng trưởng
ORS,Dịch vụ tài chính,Tăng trưởng doanh thu thuần,Q2-2025,%,-0.479,Tăng trưởng
BVS,Dịch vụ tài chính,Tăng trưởng doanh thu thuần,Q2-2025,%,-0.1498,Tăng trưởng
VIX,Dịch vụ tài chính,Tăng trưởng doanh thu thuần,Q1-2025,%,1.7169,Tăng trưởng
VND,Dịch vụ tài chính,Tăng trưởng doanh thu thuần,Q1-2025,%,-0.0916,Tăng trưởng
VCI,Dịch vụ tài chính,Tăng trưởng doanh thu thuần,Q1-2025,%,0.0553,Tăng trưởng
HCM,Dịch vụ tài chính,Tăng trưởng doanh thu thuần,Q1-2025,%,0.1582,Tăng trưởng
MBS,Dịch vụ tài chính,Tăng trưởng doanh thu thuần,Q1-2025,%,-0.007,Tăng trưởng
SHS,Dịch vụ tài chính,Tăng trưởng doanh thu thuần,Q1-2025,%,-0.0054,Tăng trưởng
FTS,Dịch vụ tài chính,Tăng trưởng doanh thu thuần,Q1-2025,%,0.0429,Tăng trưởng
BSI,Dịch vụ tài chính,Tăng trưởng doanh thu thuần,Q1-2025,%,-0.0414,Tăng trưởng
CTS,Dịch vụ tài chính,Tăng trưởng doanh thu thuần,Q1-2025,%,0.4355,Tăng trưởng
VDS,Dịch vụ tài chính,Tăng trưởng doanh thu thuần,Q1-2025,%,-0.4142,Tăng trưởng
ORS,Dịch vụ tài chính,Tăng trưởng doanh thu thuần,Q1-2025,%,-0.0682,Tăng trưởng
BVS,Dịch vụ tài chính,Tăng trưởng doanh thu thuần,Q1-2025,%,-0.242,Tăng trưởng
VIX,Dịch vụ tài chính,Tăng trưởng doanh thu thuần,Q4-2024,%,0.5967,Tăng trưởng
VND,Dịch vụ tài chính,Tăng trưởng doanh thu thuần,Q4-2024,%,-0.3727,Tăng trưởng
VCI,Dịch vụ tài chính,Tăng trưởng doanh thu thuần,Q4-2024,%,0.2399,Tăng trưởng
HCM,Dịch vụ tài chính,Tăng trưởng doanh thu thuần,Q4-2024,%,0.3715,Tăng trưởng
MBS,Dịch vụ tài chính,Tăng trưởng doanh thu thuần,Q4-2024,%,0.4037,Tăng trưởng
SHS,Dịch vụ tài chính,Tăng trưởng doanh thu thuần,Q4-2024,%,61.6488,Tăng trưởng
FTS,Dịch vụ tài chính,Tăng trưởng doanh thu thuần,Q4-2024,%,0.7553,Tăng trưởng
